title,description,category
Team Meeting,Sync with development team,work
Doctor Appointment,Annual check-up at clinic,reminder
Buy Groceries,"Milk, eggs, and veggies",personal
Project Deadline,Final deadline for submission,work
Birthday Party,Party at Sarah's house,personal
Yoga Session,Morning yoga at studio,personal
Client Call,Discuss Q3 targets,work
Pick up prescription,Refill medication,reminder
Submit Homework,Assignment submission,work
Dinner with Friends,Meet John and Amy for dinner,personal
Workout,Gym session,personal
Conference Call,Zoom call with US team,work
Dentist Reminder,Appointment at 4 PM,reminder
Office Lunch,Catering event with colleagues,work
Weekly Sync,Weekly status meeting,work
